Date and time of measurement,Air Temp,Max Air Temp,Min Air Temp,Relative Humidity,Rainfall,Scalar mean hr. wind speed,Mean hr. wind speed,Average wind direction,Sd ** wind direction,Barometric pressure,Solar Rad***,Max solar Rad***,Min solar Rad***,Sd** solar Rad***,Average ps* active Rad***,Max ps* active Rad***,Min ps* active Rad***,Std** ps* active Rad***,Leaf WT Dry,Leaf WT Wet,Leaf WT Cont
01/16/2021 10:15,23.79,24.41,23.35,73.48,0,0.901,0.81,159.2,21.54,901.1938,659.9,1092,172.7,278.9,843,1374,229.8,362.3,15,0,0
01/16/2021 10:00,23.75,24.38,22.67,73.27,0,1.1,0.895,162.5,30.84,901.1274,801,1075,258.3,225.2,1011,1340,337.5,282.6,15,0,0
01/16/2021 09:45,23.26,24.18,22.7,72.9,0,1.119,0.973,198.7,25.45,901.2261,813,917,469,74.22,1010,1174,522.5,97.3,15,0,0
01/16/2021 09:30,23.55,24.2,22.91,75.2,0,1.095,0.93,152.9,25.79,901.3287,758.5,858,396.5,65.17,947,1069,374.9,87.8,15,0,0
01/16/2021 09:15,21.8,22.93,20.17,82.5,0,0.297,0.216,186,11.38,901.182,835,896,785.5,34.38,1018,1082,963,36.25,15,0,0
01/16/2021 09:00,19.86,20.16,19.76,89.4,0,0.256,0.234,2.36,12.45,901.3112,185.9,856,115.1,138.6,240.7,1038,148.2,173.8,15,0,0
01/16/2021 08:45,20.06,20.38,19.74,88.3,0,0.806,0.74,352.5,16.4,901.2734,166.2,713.9,88.9,167.8,213.5,857,127.3,191,15,0,0
01/16/2021 08:30,20.16,20.58,19.92,87.5,0,0.843,0.789,331.7,18.06,901.2877,219.7,651.6,90.7,151.8,290.1,829,133.6,178.1,15,0,0
01/16/2021 08:15,20.49,20.65,20.33,85.4,0,0.917,0.806,328.9,25.77,901.0901,431.1,578.6,215.7,74.01,571,699.8,272,83.9,15,0,0
01/16/2021 08:00,21.29,21.89,20.55,80.7,0,0.592,0.295,12,26.2,900.9288,434.4,453.6,409.9,12.38,507.9,549.3,465.1,28.6,15,0,0
01/16/2021 07:45,20.94,21.69,20.18,81.3,0,0.766,0.583,165.8,20.26,900.8495,383.4,409.5,358.8,14.57,440.1,465.2,411.6,15.27,15,0,0
01/16/2021 07:30,19.2,20.18,18.78,90,0,0.216,0.174,295.8,9.57,900.729,322.8,358.8,230.8,33.57,372.5,411.7,283.9,33.08,8.25,5.85,0.9
01/16/2021 07:15,18.61,19,18.3,95.7,0,0.276,0.23,335.8,11.08,900.6885,196.7,232.8,163.5,15.42,252.8,300.2,211.3,20.1,0,15,0
01/16/2021 07:00,18.17,18.38,17.83,96.9,0,0.909,0.877,357.8,13.47,900.489,216.5,241.8,174.7,17.46,291.7,323.3,234.2,23.71,0,15,0
01/16/2021 06:45,17.8,17.9,17.68,97,0,0.453,0.43,331.7,15.44,900.3326,85.7,185.6,68.76,22.66,113.6,255.2,92.2,32.22,0,15,0
