Date and time of measurement,Air Temp,Max Air Temp,Min Air Temp,Relative Humidity,Rainfall,Scalar mean hr. wind speed,Mean hr. wind speed,Average wind direction,Sd ** wind direction,Barometric pressure,Solar Rad***,Max solar Rad***,Min solar Rad***,Sd** solar Rad***,Average ps* active Rad***,Max ps* active Rad***,Min ps* active Rad***,Std** ps* active Rad***,Leaf WT Dry,Leaf WT Wet,Leaf WT Cont
1/1/2021 0:00,17.89,17.98,17.76,97,0,0.966,0.932,314.7,13.73,900.4011,0,0,0,0,0.043,0.234,0,0.047,0,15,0
1/1/2021 0:15,17.71,17.79,17.57,97,0,0.888,0.861,323.3,12.11,900.3207,0,0,0,0,0,0,0,0,0,15,0
1/1/2021 0:30,17.53,17.61,17.49,97.1,0,0.717,0.712,322.7,6,900.1205,0,0,0,0,0,0.1,0,0.006,0,15,0
1/1/2021 0:45,17.62,17.73,17.53,97.1,0,0.654,0.627,326.5,13.84,900.0403,0,0,0,0,0.035,0.234,0,0.046,0,15,0
1/1/2021 1:00,17.79,17.86,17.69,97.1,0,0.84,0.819,313.2,11.83,900.0004,0,0.05,0,0.01,0.038,0.167,0,0.044,0,15,0
1/1/2021 1:15,17.86,17.93,17.79,97.1,0,1.045,0.972,317.9,14.15,899.9626,0,0,0,0,0,0,0,0,0,15,0
1/1/2021 1:30,17.92,17.98,17.86,97.1,0,0.861,0.8,323.4,18.39,899.9606,0,0,0,0,0,0.033,0,0.002,0,15,0
1/1/2021 1:45,17.96,18,17.91,97.1,0,0.561,0.532,317.1,15.4,899.8408,0,0,0,0,0.044,0.234,0,0.048,0,15,0
1/1/2021 2:00,17.94,18,17.89,97.1,0,0.926,0.884,315,15.74,899.6371,0,0,0,0,0.041,0.234,0,0.046,0,15,0
1/1/2021 2:15,17.98,18.01,17.93,97.1,0,0.938,0.891,311.3,17.19,899.5941,0,0,0,0,0,0,0,0,0,15,0
1/1/2021 2:30,18,18.05,17.96,97.1,0,0.632,0.599,310.7,15.22,899.5135,0,0,0,0,0,0,0,0,0,15,0
1/1/2021 2:45,17.88,17.98,17.79,97.1,0,1.081,1.015,315.3,17.5,899.2743,0,0,0,0,0.043,0.201,0,0.05,0,15,0
1/1/2021 3:00,17.77,17.84,17.68,97.1,0,1.205,1.132,306.7,17.66,899.2333,0,0,0,0,0.039,0.201,0,0.044,0,15,0
1/1/2021 3:15,17.68,17.74,17.58,97.1,0,1.088,1.034,318.9,17.86,899.3148,0,0,0,0,0,0,0,0,0,15,0
1/1/2021 3:30,17.56,17.64,17.44,97.1,0,0.582,0.494,332.1,22.91,899.4764,0,0,0,0,0,0.1,0,0.006,0,15,0
1/1/2021 3:45,17.39,17.51,17.29,97.2,0,0.663,0.571,323.8,17.33,899.6772,0,0,0,0,0.04,0.167,0,0.044,0,15,0
1/1/2021 4:00,17.16,17.42,16.7,97.2,0,1.214,1.168,230.9,11.28,899.8361,0,0,0,0,0.032,0.167,0,0.04,0,15,0
1/1/2021 4:15,16.66,16.8,16.55,97.1,0,1.302,1.274,206.6,11.25,899.8428,0,0,0,0,0.036,0.201,0,0.045,0,15,0
1/1/2021 4:30,16.91,17.04,16.75,96.4,0,1.333,1.299,206.1,12.7,900.0483,0,0,0,0,0.036,0.234,0,0.045,0,15,0
1/1/2021 4:45,16.92,17.04,16.77,95.6,0,0.942,0.911,232.2,12.27,900.255,0,0,0,0,0.035,0.201,0,0.045,0,15,0
1/1/2021 5:00,16.73,16.82,16.67,95.6,0,0.343,0.29,303.6,7.01,900.2939,0,0,0,0,0.037,0.201,0,0.043,0,15,0
1/1/2021 5:15,16.97,17.12,16.67,94.4,0,1.412,1.389,300.6,8.76,900.3002,0,0,0,0,0.035,0.167,0,0.041,0,15,0
1/1/2021 5:30,16.95,17.04,16.87,93.6,0,2.02,1.986,308.2,9.74,900.3398,0,0,0,0,0.072,0.335,0,0.067,0,15,0
1/1/2021 5:45,16.89,16.94,16.81,93.9,0,1.287,1.222,324.1,15.57,900.4601,0,0,0,0,1.56,4.354,0.1,1.158,0,15,0
1/1/2021 6:00,16.92,16.99,16.86,94.5,0,0.928,0.871,346.2,19.32,900.8256,2.55,5.48,0,1.91,8.79,12.96,4.22,2.819,0,15,0
1/1/2021 6:15,16.72,16.91,16.54,94.4,0,0.141,0.137,149.9,6.66,901.0292,7.45,10.73,5.06,1.57,17.37,23.31,12.69,3.15,0,15,0
1/1/2021 6:30,16.48,16.59,16.39,95.1,0,0.28,0.277,139.4,5.3,900.9882,16.38,21.31,10.77,3.15,30.53,36.47,23.34,3.744,0,15,0
1/1/2021 6:45,16.77,17.24,16.5,95.6,0,0.766,0.76,132.7,5.85,901.1942,50.57,145.5,21.36,43.21,47.26,95,36.54,13.05,0,15,0
1/1/2021 7:00,18.48,19.74,17.23,91.5,0,0.754,0.737,137.2,10.24,901.2712,167.7,205,145.7,15.4,132.2,242.2,75.22,38.74,0,15,0
1/1/2021 7:15,20.18,20.89,19.69,83.9,0,0.515,0.503,139.6,10.3,901.4338,248.8,295.8,205.2,26.97,321.2,360.9,244.6,24.45,0,15,0
1/1/2021 7:30,20.75,21.07,20.23,80.5,0,0.314,0.282,7.94,12.81,901.671,339,377.5,291.3,23.59,384.2,424.2,297,22.78,10.45,3.9,0.65
1/1/2021 7:45,20.06,20.23,19.89,82.3,0,0.799,0.718,348.5,18.47,901.7094,375.4,407,295.6,36.04,379.9,482.1,114.5,125.7,15,0,0
1/1/2021 8:00,19.99,20.13,19.86,83.5,0,0.648,0.618,308.9,14.46,901.7,429.6,462.6,319,31.14,508.8,544,459.8,21.61,15,0,0
1/1/2021 8:15,20.31,20.63,20.09,83.6,0,0.571,0.518,347,13.57,901.5737,497.5,532.6,453.1,22.89,592.7,637.4,537.2,28.89,15,0,0
1/1/2021 8:30,21.22,21.92,20.61,79.93,0,0.269,0.169,17.34,27.85,901.5712,561.9,597.1,532.3,20.59,674.3,715.1,636.7,24.31,15,0,0
1/1/2021 8:45,22.13,22.54,21.7,74.76,0,0.492,0.456,20.59,20.61,901.7245,665,779.7,365.5,87.4,804,946,425.7,104.1,15,0,0
1/1/2021 9:00,21.8,22.39,21.37,74.56,0,0.646,0.577,350.5,23.21,901.592,336.6,900,146.3,199.3,423.7,1098,196.8,232.4,15,0,0
1/1/2021 9:15,21.57,22.22,21.1,78.29,0,0.744,0.693,356.7,18.99,901.6182,573.9,873,165.8,287.5,711.8,1077,216.7,343.3,15,0,0
1/1/2021 9:30,22.41,22.81,22,74.97,0,0.547,0.324,330.7,25.4,901.5667,750.2,937,235.2,220.1,932,1151,315.7,261.2,15,0,0
1/1/2021 9:45,23.74,24.62,22.79,70.5,0,0.373,0.228,170.7,32.52,901.389,824,853,812,8.92,1016,1047,996,12.7,15,0,0
1/1/2021 10:00,24.73,24.95,24.38,62.28,0,1.114,1.001,140.5,21.71,901.2835,841,873,812,12.32,1049,1091,984,19.26,15,0,0
1/1/2021 10:15,24.19,24.91,23.75,62.29,0,0.994,0.703,76.45,41.91,901.1853,867,923,837,19.71,1088,1182,1043,32.54,15,0,0
1/1/2021 10:30,24.17,24.66,22.96,68.99,0,0.816,0.551,0.14,31.04,901.1368,569.4,1138,180.3,328.8,736,1500,247.7,412.1,15,0,0
1/1/2021 10:45,22.15,22.95,21.2,78.89,0,0.712,0.546,254.1,23.41,900.9684,174.6,215.9,143.1,24.23,243.9,304,195.7,34.03,15,0,0
1/1/2021 11:00,20.86,21.2,20.38,85.2,0,0.824,0.779,234.2,17.91,900.7393,93.8,170.7,51.78,44.74,140.6,256.9,80.1,65.36,15,0,0
1/1/2021 11:15,20.4,20.7,20.26,87.5,0,0.517,0.494,233.8,15.27,899.9854,162.1,258.2,43.32,76.11,239.5,376.9,66.36,109.8,15,0,0
1/1/2021 11:30,21.21,21.83,20.67,84.9,0,0.987,0.859,218.4,25.57,899.8404,534,1328,188.6,302.2,714,1770,271.4,390.5,15,0,0
1/1/2021 11:45,22.2,22.4,21.81,79.97,0,0.475,0.37,234,25.83,900.5259,488.3,1115,234.6,241.4,645.9,1499,319,313.6,15,0,0
1/1/2021 12:00,22.39,22.82,21.81,79.51,0,1.041,0.842,174.7,33.89,900.2003,556.7,1264,270.2,311.6,747.9,1726,367,411.3,15,0,0
1/1/2021 12:15,22.35,22.93,21.93,78.53,0,0.83,0.605,144.4,32.78,900.0736,197.8,971,120.2,91.2,268.4,1021,164.9,104.3,15,0,0
1/1/2021 12:30,22.19,22.56,21.93,80.5,0,0.63,0.528,232,15.7,899.8729,496.4,1266,187.1,254.6,662.9,1727,257.4,332.3,15,0,0
1/1/2021 12:45,21.6,22.08,21.41,82.4,0,1.134,1.013,239.2,19.13,899.7097,268.6,1137,91.3,240.5,353.1,1507,125.4,307.2,15,0,0
1/1/2021 13:00,21.28,21.46,21.14,83.5,0,0.355,0.252,219.6,25.66,899.3484,116.3,226.3,64.92,54.59,157.5,314.6,83.2,78.28,15,0,0
1/1/2021 13:15,22.37,23.37,21.41,81.6,0,1.078,0.976,224.5,21.45,899.3536,770.7,1039,223.4,251.7,990,1369,311.5,314.4,15,0,0
1/1/2021 13:30,23.95,24.48,23.37,74.15,0,1.522,1.407,184.8,20.6,899.3894,769.3,971,270.7,196.2,995,1281,339.4,259.4,15,0,0
1/1/2021 13:45,24.27,24.83,23.82,71.5,0,1.34,1.137,149.8,32.82,899.3363,712.3,1007,185.8,280.7,931,1385,256.6,363.3,15,0,0
1/1/2021 14:00,24.52,24.96,23.95,70.2,0,1.142,0.963,164.3,27.42,899.2014,499,958,166.4,278,664.5,1266,244.9,360.8,15,0,0
1/1/2021 14:15,23.62,24.22,22.89,74.3,0,0.999,0.894,144.6,24.2,899.0764,224.8,846,112.3,161.1,307.9,1102,167,202.6,15,0,0
1/1/2021 14:30,23.09,23.62,22.58,77.34,0,1.392,1.218,217.5,27.88,898.8386,582.9,824,97.1,232,768.8,1094,157.6,296.3,15,0,0
1/1/2021 14:45,23.22,23.47,22.93,76.89,0,1.038,0.854,176.8,30.08,898.7988,316.3,729.9,101.6,186.5,433.3,976,155.4,246.5,15,0,0
1/1/2021 15:00,23.23,23.63,23.03,77.16,0,1.064,0.903,154.1,29.14,898.8049,408.3,664.2,144.8,142.7,542.1,874,198.4,192,15,0,0
1/1/2021 15:15,23.32,23.74,23.01,76.61,0,1.111,0.98,210.7,23.28,898.8395,446.4,505.2,161.4,45.73,601.1,666.3,201.8,60.4,15,0,0
1/1/2021 15:30,23.1,23.5,22.64,77.9,0,0.828,0.691,207.6,30.72,898.5631,340.5,405.3,131.6,74.28,407.1,572.5,101.4,119.3,15,0,0
1/1/2021 15:45,22.15,22.64,21.91,81.2,0,1.337,1.201,213.5,23.79,898.0112,94,172.5,59.91,28.37,206.2,374.5,93.5,81.2,15,0,0
1/1/2021 16:00,21.74,22.04,21.51,83,0,1.619,1.507,192.5,20.7,897.3787,76.99,155,36.62,36.32,88.8,175.4,61.71,24.13,15,0,0
1/1/2021 16:15,21.15,21.54,20.69,85.2,0,1.178,1.078,209.6,22.98,897.2744,58.97,101,33.4,19.68,102.8,272.4,61.84,53.05,15,0,0
1/1/2021 16:30,20.51,20.86,20.2,87,0,1.32,1.205,216.3,22.88,897.4901,35.91,52.68,26.13,8.75,60.09,78.72,49.14,9.51,15,0,0
1/1/2021 16:45,20.11,20.24,19.87,88.4,0,0.849,0.679,211.5,27.67,897.6207,25.53,52.3,12.47,10.59,45.54,77.11,30.75,12.42,15,0,0
1/1/2021 17:00,19.74,19.9,19.58,89.3,0,1.218,1.137,201.7,19.79,897.5827,10.02,12.43,7.32,1.43,26.44,30.75,22.24,2.432,15,0,0
1/1/2021 17:15,19.46,19.63,19.33,90.6,0,1.187,1.119,213.6,17.92,897.6674,4.46,7.32,1.42,1.73,16.89,22.14,11.29,3.164,15,0,0
1/1/2021 17:30,19.3,19.38,19.23,91.1,0,1.569,1.508,202.1,16.13,897.8345,0.32,1.42,0,0.49,6.562,11.36,2.445,2.587,15,0,0
1/1/2021 17:45,19.12,19.33,18.91,91.5,0,0.604,0.538,173.8,11.86,897.9629,0,0,0,0,0.773,2.512,0,0.681,15,0,0
1/1/2021 18:00,18.8,18.93,18.65,93.2,0,0.563,0.47,164.7,15.98,898.2524,0,0,0,0,0.05,0.234,0,0.052,0.95,10.05,4
1/1/2021 18:15,18.67,18.71,18.61,94.2,0,0.705,0.662,222.3,14.84,898.7387,0,0,0,0,0.041,0.234,0,0.047,0,15,0
1/1/2021 18:30,18.57,18.65,18.5,94.1,0,0.263,0.238,252.2,11.84,899.2255,0,0,0,0,0.036,0.234,0,0.048,0,15,0
1/1/2021 18:45,18.54,18.61,18.45,93.8,0,0.168,0.16,159.4,6.35,899.5073,0,0,0,0,0.033,0.167,0,0.041,0,15,0
1/1/2021 19:00,18.31,18.48,18.16,94,0,0.599,0.576,156.5,8.75,899.8331,0,0,0,0,0.036,0.201,0,0.044,0,15,0
1/1/2021 19:15,18.09,18.21,17.98,94.7,0,0.544,0.539,148.2,7.95,899.9573,0,0,0,0,0.041,0.201,0,0.047,0,15,0
1/1/2021 19:30,17.93,17.99,17.84,95.1,0,0.678,0.628,174.1,13.97,900.0802,0,0,0,0,0.044,0.201,0,0.045,0,15,0
1/1/2021 19:45,18.03,18.21,17.93,95.4,0,0.914,0.869,188.9,16.1,900.2446,0,0,0,0,0.031,0.234,0,0.043,0,15,0
1/1/2021 20:00,18.09,18.21,17.94,94.7,0,0.559,0.515,150,15.35,900.4448,0,0,0,0,0.041,0.234,0,0.047,0,15,0
1/1/2021 20:15,17.86,17.98,17.74,94.8,0,0.18,0.162,256.5,7.97,900.5264,0,0,0,0,0.037,0.201,0,0.046,0,15,0
1/1/2021 20:30,17.66,17.76,17.54,94.9,0,0.438,0.328,157.1,11.18,900.7257,0,0,0,0,0.037,0.234,0,0.046,0,15,0
1/1/2021 20:45,17.58,17.64,17.51,95.3,0,0.249,0.194,138.8,16.47,900.7275,0,0,0,0,0.038,0.201,0,0.047,0,15,0
1/1/2021 21:00,17.63,17.76,17.53,95.6,0,0.082,0.082,2.47,0.39,900.9703,0,0,0,0,0.039,0.201,0,0.047,0,15,0
1/1/2021 21:15,17.85,17.91,17.74,95.4,0,0.333,0.31,130.1,14.77,901.0959,0,0,0,0,0.04,0.167,0,0.046,0,15,0
