Date and time of measurement,Air Temp,Max Air Temp,Min Air Temp,Relative Humidity,Rainfall,Scalar mean hr. wind speed,Mean hr. wind speed,Average wind direction,Sd ** wind direction,Barometric pressure,Solar Rad***,Max solar Rad***,Min solar Rad***,Sd** solar Rad***,Average ps* active Rad***,Max ps* active Rad***,Min ps* active Rad***,Std** ps* active Rad***,Leaf WT Dry,Leaf WT Wet,Leaf WT Cont
1/1/2022 0:00,17.8,17.91,17.69,97.3,0,0.745,0.702,316.2,16.55,897.9392,0,0,0,0,0.049,0.235,0,0.052,0,15,0
1/1/2022 0:15,17.58,17.71,17.43,97.3,0,0.767,0.749,313.5,11.08,897.5373,0,0,0,0,0,0,0,0,0,15,0
1/1/2022 0:30,17.54,17.63,17.48,97.4,0,0.55,0.503,316.1,12.49,897.499,0,0.05,0,0,0,0.034,0,0.002,0,15,0
1/1/2022 0:45,17.74,17.85,17.61,97.4,0,0.586,0.529,326.4,21.45,897.299,0.04,0.19,0,0.05,0.047,0.235,0,0.055,0,15,0
1/1/2022 1:00,17.75,17.85,17.68,97.4,0,1.493,1.467,303.8,11.03,897.3014,0,0,0,0,0.05,0.268,0,0.058,0,15,0
1/1/2022 1:15,17.73,17.78,17.66,97.4,0,1.475,1.417,319,14.44,897.1776,0,0,0,0,0,0,0,0,0,15,0
1/1/2022 1:30,17.59,17.69,17.49,97.4,0,1.205,1.153,330.9,16.3,897.0197,0,0,0,0,0,0.067,0,0.004,0,15,0
1/1/2022 1:45,17.6,17.68,17.49,97.4,0,0.989,0.913,333.3,21.71,896.8171,0,0,0,0,0.049,0.201,0,0.051,0,15,0
1/1/2022 2:00,17.7,17.75,17.64,97.4,0,0.878,0.814,318.8,19.52,896.5369,0,0,0,0,0.045,0.235,0,0.052,0,15,0
1/1/2022 2:15,17.74,17.78,17.69,97.4,0,1.171,1.124,319.3,16.48,896.451,0,0,0,0,0,0,0,0,0,15,0
1/1/2022 2:30,17.57,17.78,17.48,97.4,0,1.09,1.034,328.1,16.81,896.4141,0,0,0,0,0,0.034,0,0.002,0,15,0
1/1/2022 2:45,17.53,17.58,17.48,97.5,0,0.564,0.535,325,14.36,896.4141,0,0,0,0,0.046,0.235,0,0.054,0,15,0
1/1/2022 3:00,17.4,17.54,17.27,97.4,0,0.506,0.486,337.3,11.84,896.4987,0,0,0,0,0.056,0.235,0,0.056,0,15,0
1/1/2022 3:15,17.13,17.29,16.97,97.5,0,0.439,0.421,338.6,10.52,896.456,0,0,0,0,0,0,0,0,0,15,0
1/1/2022 3:30,16.9,17.04,16.81,97.5,0,0.321,0.305,337.6,11.07,896.34,0,0,0,0,0,0.101,0,0.006,0,15,0
1/1/2022 3:45,16.91,17.14,16.72,97.6,0,0.574,0.561,294.2,11.28,896.2223,0,0.05,0,0,0.043,0.235,0,0.05,0,15,0
1/1/2022 4:00,17.06,17.12,16.99,97.6,0,0.808,0.762,310.9,12.6,896.3434,0,0,0,0,0.047,0.235,0,0.053,0,15,0
1/1/2022 4:15,17.02,17.11,16.89,97.6,0,0.651,0.63,318.6,14.14,896.5059,0,0,0,0,0.042,0.201,0,0.05,0,15,0
1/1/2022 4:30,16.83,16.91,16.67,97.6,0,0.642,0.624,310.5,11.42,896.5443,0,0,0,0,0.047,0.235,0,0.051,0,15,0
1/1/2022 4:45,16.52,16.7,16.39,97.6,0,0.843,0.821,318.6,6.58,896.5461,0,0,0,0,0.043,0.201,0,0.047,0,15,0
1/1/2022 5:00,16.63,16.81,16.39,97.6,0,1.088,1.052,339.6,13.87,896.5895,0,0,0,0,0.043,0.168,0,0.046,0,15,0
1/1/2022 5:15,16.74,16.81,16.69,97.6,0,1.352,1.329,337.5,9.93,896.353,0,0,0,0,0.042,0.201,0,0.044,0,15,0
1/1/2022 5:30,16.86,16.96,16.77,97.6,0,1.114,1.098,337,8.76,896.357,0,0,0,0,0.096,0.369,0,0.081,0,15,0
1/1/2022 5:45,16.78,16.93,16.71,97.6,0,1.258,1.24,338,7.13,896.4771,0,0,0,0,2.439,6.868,0.168,1.901,0,15,0
1/1/2022 6:00,16.68,16.79,16.57,97.6,0,0.981,0.954,332.6,9.97,896.439,1.3,4.21,0,1.37,15.54,25.5,6.734,5.41,0,15,0
1/1/2022 6:15,16.64,16.72,16.54,97.7,0,1.01,0.987,335.9,10.18,896.639,7.1,10.21,4.26,1.76,35.02,43.49,25.5,5.162,0,15,0
1/1/2022 6:30,16.7,16.81,16.62,97.7,0,1.053,1.024,324.8,13.29,896.8431,13.13,16.31,10.26,1.82,51.3,59.03,43.55,4.447,0,15,0
1/1/2022 6:45,16.82,17.04,16.71,97.7,0,0.599,0.578,333,13.36,897.0061,65.05,113.7,16.41,26.83,150.2,237.7,59.1,50.07,0,15,0
1/1/2022 7:00,17.15,17.26,16.99,97.6,0,0.955,0.879,339.6,22.14,897.4067,90.9,139.6,51.49,18.61,204.5,305.8,124.8,37.9,0,15,0
1/1/2022 7:15,17.27,17.36,17.18,97.6,0,0.952,0.869,334.7,23.48,898.0476,130.8,252.4,57.68,39.26,288.3,551.8,139.6,82.2,0,15,0
1/1/2022 7:30,17.45,17.58,17.31,97.6,0,0.965,0.908,328.8,18.48,898.0807,215.3,310.8,87.1,56.08,376.1,688,155.7,106.6,1.95,12.45,0.6
1/1/2022 7:45,17.63,17.96,17.46,97.5,0,0.928,0.808,323.6,20.19,898.2367,293.3,324.3,211.4,29.85,489.5,751,101.2,262.6,15,0,0
1/1/2022 8:00,18.15,18.54,17.9,97.1,0,0.675,0.62,347.3,20.68,898.2371,355.5,373.7,310.9,11.14,808,865,750.5,33.06,15,0,0
1/1/2022 8:15,18.7,18.89,18.49,95.5,0,0.487,0.44,340,21.32,898.3583,401.3,423.8,346.9,17.15,929,982,788.7,38.93,15,0,0
1/1/2022 8:30,19.05,19.22,18.74,92.2,0,0.411,0.376,324.5,13.75,898.4716,310.3,542,104.7,132.8,741,1285,258.6,304,15,0,0
1/1/2022 8:45,19.73,20.35,19.14,90.3,0,0.651,0.584,337.6,24.43,899.3143,487.1,625.9,151,125.6,1120,1424,337.1,292.1,15,0,0
1/1/2022 9:00,20.77,21.25,20.3,85.9,0,0.441,0.35,353,23.38,900.2604,521.3,538.9,504.7,9.17,1221,1257,1182,19.96,15,0,0
1/1/2022 9:15,21.7,22.24,21.23,79.31,0,0.431,0.303,4.09,28.49,900.6844,559.8,585.1,530.4,13.03,1302,1343,1239,21.56,15,0,0
1/1/2022 9:30,21.9,22.1,21.7,76.53,0,0.483,0.216,21.86,22.08,900.7423,618.2,639.2,585.8,12.99,1390,1418,1342,18.29,15,0,0
1/1/2022 9:45,22.34,22.65,22.08,75.49,0,0.778,0.672,339.1,28.41,900.765,672.4,703.7,639.4,21.37,1463,1511,1414,31.34,15,0,0
1/1/2022 10:00,22.2,22.42,21.93,75.93,0,1.312,1.134,325.7,28.06,900.7062,725.2,748.5,693.8,17.01,1537,1596,1492,24.71,15,0,0
1/1/2022 10:15,22.27,22.67,22.03,74.64,0,1.357,1.23,318.1,22.6,900.6127,775.6,803,661.5,21.18,1603,1653,1313,38.59,15,0,0
1/1/2022 10:30,22.49,23,21.91,70.39,0,1.145,0.985,306,26.22,900.5657,808,873,392.2,58.39,1630,1776,698.8,129,15,0,0
1/1/2022 10:45,23.04,23.32,22.71,67.74,0,1.144,0.933,343.1,41.95,900.3116,866,892,836,16.46,1724,1765,1677,25.56,15,0,0
1/1/2022 11:00,23.5,23.9,23.06,67.47,0,0.924,0.708,346.4,27.97,900.1425,755.3,973,180.6,278.2,1494,1924,389.8,530,15,0,0
1/1/2022 11:15,23.22,23.67,22.71,68.41,0,1.155,0.965,332.4,30.08,899.7763,715.8,1050,190.8,301.7,1433,2091,414.3,574.6,15,0,0
1/1/2022 11:30,23.7,24.15,23.4,67.75,0,1.282,1.085,335.9,26.97,899.6134,837,993,155.8,226.6,1664,1969,338.9,433.6,15,0,0
1/1/2022 11:45,23.42,23.8,22.93,69.08,0,2.266,2.113,293.8,17.44,899.4539,945,957,900,9.4,1849,1873,1696,21.14,15,0,0
