year,month ,day,meanTemp,highTemp,highTempTime,lowTemp,lowTempTime,heatDegreeDays,coolDegreeDays,precip,meanWindSpeed_kmh,gustSpeed_kmh,timeGust,dominantWindDir
2005,1,1,20.3,26.4,12:00p,17,6:00a,0.2,2.3,0,1.8,17.7,12:00p,SSW
2005,1,2,20.3,26.8,2:00p,16.8,6:00a,0.3,2.3,0,2.9,32.2,2:00p,NNW
2005,1,3,20.8,27.8,12:00p,17.1,6:00a,0.1,2.6,1.8,2.3,27.4,6:00a,NNW
2005,1,4,20.1,25.3,4:00p,17.3,6:00a,0.2,2,0,2.7,27.4,8:00p,NNW
2005,1,5,20.4,26.6,2:00p,16.4,6:00a,0.4,2.4,0,2.3,20.9,6:00p,SE
2005,1,6,19.9,25.7,12:00p,16.4,6:00a,0.4,1.9,0,2.1,16.1,12:00p,NNW
2005,1,7,20.8,26.6,2:00p,17.3,2:00a,0.2,2.7,0,4.2,32.2,12:00p,N
2005,1,8,20.1,25.3,12:00p,17.4,6:00a,0.1,1.8,10.9,3.2,22.5,12:00m,NNW
2005,1,9,19.5,23.3,4:00p,17.9,4:00a,0,1.2,4.6,2.7,22.5,2:00a,SE
2005,1,10,20.4,27.6,2:00p,17.2,6:00a,0,2.1,3.3,2.9,29,8:00a,N
2005,1,11,20.2,25.5,2:00p,18.2,2:00a,0,1.8,45.2,2.3,20.9,12:00p,NNW
2005,1,12,20.1,25.7,12:00p,18.1,6:00a,0,1.7,1.8,2.1,27.4,2:00a,WSW
2005,1,13,20.8,24.7,12:00p,17.9,8:00a,0.1,2.6,0.3,1.3,16.1,12:00p,NNW
2005,1,14,20.4,26.6,2:00p,18.2,12:00m,0,2.1,10.9,3.4,19.3,4:00a,NNW
2005,1,15,20.4,25.9,2:00p,17.9,2:00a,0,2.1,0,1.9,27.4,10:00a,NNW
2005,1,16,19.3,24.3,12:00p,17.1,12:00m,0.3,1.3,1.5,2.9,19.3,12:00m,SE
2005,1,17,19.7,26.6,2:00p,16.2,6:00a,0.6,1.9,0,2.7,17.7,6:00a,SSW
2005,1,18,20.3,27.2,12:00p,16.7,4:00a,0.4,2.4,0,2.1,17.7,2:00a,SW
2005,1,19,19.6,24.7,10:00a,16.9,6:00a,0.3,1.5,8.6,2.4,17.7,12:00p,SSW
2005,1,20,19.4,24.3,12:00p,16.7,6:00a,0.3,1.4,22.1,3.1,20.9,12:00m,NNW
2005,1,21,19,24.7,2:00p,16.3,8:00a,0.4,1.1,0.3,2.9,19.3,2:00a,SSW
2005,1,22,20,25.9,12:00p,16.6,8:00a,0.3,2,0.8,2.4,19.3,10:00a,SSW
2005,1,23,19.6,24.9,2:00p,17.1,6:00a,0.2,1.5,0,2.1,17.7,12:00p,NNW
2005,1,24,19.3,24.1,12:00p,16.6,6:00a,0.4,1.3,0,1.3,16.1,2:00p,SSW
2005,1,25,19.4,25,2:00p,16.7,8:00a,0.5,1.6,0,2.9,20.9,6:00p,N
2005,1,26,20.1,25.7,2:00p,15.3,6:00a,0.6,2.2,0,2.9,25.7,8:00p,NNW
2005,1,27,20.7,26.1,2:00p,17.2,6:00a,0.2,2.6,0,2.3,17.7,4:00a,NNW
2005,1,28,21.1,26.7,2:00p,17.9,8:00a,0,2.7,0,1.8,19.3,2:00p,NNW
2005,1,29,20.3,26.6,12:00p,16.9,6:00a,0.3,2.2,0,2.9,30.6,2:00p,NNW
2005,1,30,20,26.6,12:00p,16.4,6:00a,0.5,2.2,0,2.3,17.7,12:00p,NNW
2005,1,31,20.2,25.6,2:00p,16.6,6:00a,0.4,2.2,0.3,3.4,32.2,6:00p,NNW
2005,2,1,19.9,26.6,2:00p,17,6:00a,0.2,1.8,1,2.4,16.1,12:00p,NNW
2005,2,2,20.3,26.9,2:00p,17,6:00a,0.3,2.3,0,1.8,19.3,6:00p,NNW
2005,2,3,20.7,26.7,2:00p,16.7,6:00a,0.4,2.7,0,2.7,29,2:00p,E
2005,2,4,20.7,27.1,2:00p,15.8,4:00a,0.6,2.9,0,3.4,32.2,2:00p,E
2005,2,5,21.2,27.3,2:00p,16.7,2:00a,0.1,3,0,4.5,30.6,2:00p,N
2005,2,6,20.6,27.4,12:00p,15.9,6:00a,0.3,2.6,0,2.6,22.5,6:00a,E
2005,2,7,20.9,27.9,12:00p,16.6,2:00a,0.3,2.8,0,1.3,16.1,12:00p,SW
2005,2,8,21.1,27.3,12:00p,17.1,6:00a,0.3,3,0,2.1,19.3,2:00p,SSW
2005,2,9,21.1,28.3,12:00p,17.3,6:00a,0.1,2.9,0,1.8,19.3,4:00p,N
2005,2,10,20.6,26.9,12:00p,17.1,6:00a,0.2,2.4,0,1.3,20.9,12:00p,N
2005,2,11,21.3,28.8,12:00p,17.4,8:00a,0,3,0,2.1,25.7,12:00p,NNW
2005,2,12,20.6,28.7,2:00p,15.7,8:00a,0.4,2.7,0,2.4,30.6,10:00a,ESE
2005,2,13,20.4,27.3,12:00p,16.4,6:00a,0.4,2.4,0,2.9,20.9,2:00p,NNW
2005,2,14,19.8,25.8,12:00p,16.7,4:00a,0.4,1.8,0.3,1.4,16.1,2:00p,SSW
2005,2,15,20,26.9,12:00p,17.5,4:00a,0.1,1.8,13,1.4,19.3,2:00p,N
2005,2,16,19.4,26.3,12:00p,16.9,6:00a,0.3,1.4,0.5,1.1,16.1,10:00a,SSW
2005,2,17,20.4,26.6,2:00p,16.9,4:00a,0.3,2.3,0.3,1.9,19.3,2:00p,NNW
2005,2,18,21.1,27.3,12:00p,17.3,6:00a,0.2,2.9,0,3.1,32.2,2:00p,ESE
2005,2,19,20.8,27.7,12:00p,17,4:00a,0.2,2.6,0,2.9,35.4,4:00p,N
2005,2,20,21.6,27.8,12:00p,17.3,6:00a,0.1,3.4,0,3.4,32.2,10:00a,SE
2005,2,21,21.2,26.3,10:00a,17.9,6:00a,0,2.8,0,1.8,19.3,10:00a,SSW
2005,2,22,21.2,27.3,2:00p,17.9,8:00a,0.1,2.9,0,1.6,25.7,4:00p,NNW
2005,2,23,20.8,27.3,12:00p,17.9,6:00a,0,2.5,0.5,1.3,17.7,12:00p,N
2005,2,24,20.9,27.4,12:00p,17.9,4:00a,0.1,2.7,0.3,2.1,16.1,2:00a,NNW
2005,2,25,21.8,27.6,10:00a,18.9,8:00a,0,3.5,0,1.4,17.7,4:00p,NNW
2005,2,26,21.5,27.6,10:00a,18.6,6:00a,0,3.2,0,1.3,17.7,4:00p,NNW
2005,2,27,21.4,27.3,2:00p,18.2,6:00a,0,3.1,0,2.1,20.9,2:00p,N
2005,2,28,21.6,27.3,2:00p,18.3,4:00a,0,3.3,0.3,1.3,17.7,12:00p,N
2005,3,1,21.2,27.4,12:00p,18.6,6:00a,0,2.9,0,1.4,20.9,2:00p,SSW
2005,3,2,21.4,26.6,4:00p,18.1,4:00a,0,3.1,0.5,1.3,22.5,2:00p,SSW
2005,3,3,21.1,26,2:00p,18.2,6:00a,0,2.7,13.7,2.1,17.7,4:00a,NNW
2005,3,4,20.7,26.4,10:00a,18.8,9:00p,0,2.3,20.6,2.1,27.4,4:00p,SSE
2005,3,5,20.9,26.3,11:00a,17.9,7:00a,0,2.6,4.8,1,12.9,1:00p,SSW
2005,3,6,21.1,27.1,11:00a,18.3,1:00a,0,2.7,0,1.3,19.3,2:00p,NNW
2005,3,7,20.9,26.3,11:00a,17.6,4:00a,0.1,2.6,0.3,1.8,16.1,9:00a,NNW
2005,3,8,20.4,26,1:00p,18.3,6:00a,0,2.1,5.1,3.2,20.9,11:00a,NNW
2005,3,9,20.4,26.6,3:00p,17.5,6:00a,0.1,2.1,2,2.9,17.7,12:00p,N
2005,3,10,19.9,25,9:00a,18.1,3:00a,0.1,1.6,3.3,2.4,17.7,10:00a,NNW
2005,3,11,20.9,27.2,12:00p,18.2,3:00a,0,2.6,0,1.4,20.9,3:00p,N
2005,3,12,22.2,28.3,1:00p,18.1,6:00a,0,3.8,0.3,2.6,22.5,1:00p,SE
2005,3,13,21.2,26.4,1:00p,17.3,6:00a,0.2,3,0,2.4,16.1,10:00a,NNW
2005,3,14,21.3,27.6,11:00a,18.1,2:00a,0,2.9,0.3,0.8,16.1,2:00p,S
2005,3,15,21,26.2,1:00p,17.7,5:00a,0.1,2.7,0,2.6,17.7,3:00p,NNW
2005,3,16,21.3,26.3,2:00p,18.4,4:00a,0,3,0,1.3,16.1,4:00p,N
2005,3,17,20.6,26,11:00a,18.5,5:00a,0,2.3,6.1,1.6,16.1,3:00a,NNW
2005,3,18,21.1,26.2,12:00p,17.9,1:00a,0.1,2.8,0,1.3,25.7,2:00p,SSE
2005,3,19,21.2,27.2,1:00p,17.9,3:00a,0,2.9,0,1.3,20.9,3:00p,SSW
2005,3,20,20.9,27.7,1:00p,18.4,5:00a,0,2.6,15,1.6,32.2,2:00p,NW
2005,3,21,21.2,26.6,1:00p,18.1,2:00a,0,2.8,0.3,1.3,12.9,1:00a,N
2005,3,22,20.9,27.1,11:00a,18.3,6:00a,0,2.6,7.4,1.3,17.7,3:00p,NW
2005,3,23,21.3,27.3,3:00p,18.6,4:00a,0,2.9,1.3,1.3,17.7,2:00p,NNW
2005,3,24,21.1,26.8,11:00a,18.4,8:00p,0,2.7,1,2.7,19.3,2:00p,NNW
2005,3,25,20.4,27.3,11:00a,18.7,6:00a,0,2.1,17.3,2.9,25.7,12:00m,NNW
2005,3,26,21.2,26.9,11:00a,18.1,6:00a,0,2.8,0.3,3.5,27.4,2:00a,NW
2005,3,27,20.9,25.3,1:00p,17.9,5:00a,0,2.6,2.5,1.6,27.4,2:00p,SSE
2005,3,28,19.6,24.7,10:00a,17.9,12:00m,0.1,1.3,29.2,2.4,19.3,7:00p,NNW
2005,3,29,19.5,24.4,11:00a,17.3,3:00a,0.2,1.3,4.1,3.1,19.3,10:00p,NNW
2005,3,30,20.6,26,11:00a,17.5,5:00a,0.1,2.4,0,2.9,17.7,9:00a,NNW
2005,3,31,20.9,25.6,3:00p,17.6,4:00a,0.1,2.6,0.3,1.6,16.1,2:00p,NNW
2005,4,1,20.6,25.6,2:00p,18.2,6:00a,0,2.2,0.5,2.1,16.1,11:00a,NNW
2005,4,2,20.2,25.7,10:00a,18.4,3:00a,0,1.9,36.6,1.8,17.7,3:00p,NNW
2005,4,3,21.1,27.3,12:00p,17.3,5:00a,0.1,2.8,0.3,2.1,19.3,2:00p,NNW
2005,4,4,21.8,28,2:00p,17.9,5:00a,0,3.4,0,2.1,27.4,1:00p,NNW
2005,4,5,20.6,24.5,1:00p,18.7,5:00a,0,2.2,0.8,1.9,20.9,8:00p,NNW
2005,4,6,20.4,25.5,12:00p,18.2,7:00a,0,2.1,0,3.2,22.5,12:00m,NNW
2005,4,7,20.6,26.1,1:00p,18.3,3:00a,0,2.3,25.7,3.4,25.7,11:00a,NNW
2005,4,8,20.3,24.4,10:00a,18.5,6:00a,0,1.9,19,2.1,20.9,5:00p,NNW
2005,4,9,20.9,26,12:00p,18.5,3:00a,0,2.6,1.3,2.3,22.5,12:00p,NNW
2005,4,10,20.5,24.8,12:00p,18.6,4:00a,0,2.2,1.3,2.7,19.3,11:00a,NNW
2005,4,11,20.4,25.9,9:00a,18.2,5:00a,0,2.1,9.1,1.9,16.1,11:00a,NNW
