Date_time,Time,Air Temp,Max Air Temp,Min Air Temp,Relative Humidity,Rainfall,Scalar mean hr. wind speed,Mean hr. wind speed,Average wind direction,Sd ** wind direction,Barometric pressure,Solar Rad***,Max solar Rad***,Min solar Rad***,Sd** solar Rad***,Average ps* active Rad***,Max ps* active Rad***,Min ps* active Rad***,Std** ps* active Rad***,Leaf WT Dry,Leaf WT Wet,Leaf WT Cont
02/05/2020 23:45,23:45,19.3,19.36,19.23,95.7,0,1.462,1.42,317.2,13.13,898.8098,0,0,0,0,0.044,0.234,0,0.047,0,15,0
02/05/2020 23:30,23:30,19.18,19.28,19.06,95.6,0,1.462,1.429,321.4,11.85,898.7691,0,0,0,0,0.04,0.234,0,0.046,0,15,0
02/05/2020 23:15,23:15,19.11,19.19,19.01,95.5,0,0.816,0.808,308.1,5.96,898.6497,0,0,0,0,0.041,0.167,0,0.045,0,15,0
02/05/2020 23:00,23:00,19.02,19.11,18.91,95.3,0,0.239,0.235,301.2,3.22,898.7264,0,0,0,0,0.043,0.234,0,0.046,0,15,0
02/05/2020 22:45,22:45,19.07,19.18,18.94,95.3,0,0,0,0,0,898.8821,0,0,0,0,0.045,0.201,0,0.048,0,15,0
02/05/2020 22:30,22:30,19.19,19.24,19.14,95.5,0,0.001,0.001,349.2,0,898.9266,0,0,0,0,0.04,0.201,0,0.046,0,15,0
02/05/2020 22:15,22:15,19.25,19.34,19.14,95.5,0,0,0,0,0,898.8848,0,0,0,0,0.039,0.201,0,0.046,0,15,0
02/05/2020 22:00,22:00,19.39,19.49,19.29,95.5,0,0.018,0.018,302.5,0.01,898.9646,0,0,0,0,0.044,0.268,0,0.047,0,15,0
02/05/2020 21:45,21:45,19.6,19.68,19.46,95.5,0,0.164,0.161,353.2,5.65,898.9622,0,0,0,0,0.042,0.234,0,0.046,0,15,0
02/05/2020 21:30,21:30,19.67,19.71,19.63,95.4,0,0.518,0.503,333.6,10.48,898.6025,0,0,0,0,0.045,0.234,0,0.047,0,15,0
02/05/2020 21:15,21:15,19.47,19.68,19.14,95,0,0.629,0.604,342.3,13.37,898.0381,0.07,0.38,0,0.12,0.043,0.234,0,0.048,0,15,0
02/05/2020 21:00,21:00,19.26,19.39,19.16,94.1,0,0.238,0.231,326.4,5.59,897.9189,0,0,0,0,0.042,0.201,0,0.046,0,15,0
02/05/2020 20:45,20:45,19.42,19.51,19.34,94.1,0,0.046,0.046,184.8,1.58,897.8728,0,0,0,0,0.042,0.201,0,0.045,0,15,0
02/05/2020 20:30,20:30,19.41,19.48,19.34,94.3,0,0.07,0.07,193.6,1.61,897.6318,0,0,0,0,0.04,0.167,0,0.043,0,15,0
02/05/2020 20:15,20:15,19.47,19.63,19.38,93.9,0,0,0,0,0,897.4257,0,0,0,0,0.045,0.201,0,0.046,0,15,0
02/05/2020 20:00,20:00,19.64,19.73,19.59,94,0,0.438,0.43,195.1,8.53,897.2971,0,0,0,0,0.039,0.201,0,0.045,0,15,0
02/05/2020 19:45,19:45,19.61,19.73,19.52,93.5,0,0.204,0.203,245.5,2.86,897.1749,0,0,0,0,0.037,0.234,0,0.047,0,15,0
02/05/2020 19:30,19:30,19.76,19.89,19.61,92.3,0,0.08,0.076,134.2,2.92,897.1691,0,0,0,0,0.044,0.234,0,0.049,0,15,0
02/05/2020 19:15,19:15,19.96,20.08,19.86,91.7,0,0.279,0.239,97.6,18.53,896.8456,0,0,0,0,0.044,0.268,0,0.05,0,15,0
02/05/2020 19:00,19:00,20.14,20.18,20.06,92.8,0,0.166,0.161,45.07,8.28,896.7643,0,0,0,0,0.04,0.167,0,0.043,7.2,0.5,7.3
02/05/2020 18:45,18:45,20.22,20.35,20.14,92.6,0,0.235,0.234,93.5,4.81,896.5586,0,0,0,0,0.043,0.234,0,0.047,15,0,0
02/05/2020 18:30,18:30,20.4,20.45,20.31,92.8,0,0.23,0.22,107.6,6.16,896.3972,0,0,0,0,0.047,0.201,0,0.048,15,0,0
02/05/2020 18:15,18:15,20.44,20.48,20.39,92.7,0,0.924,0.806,142.9,14.54,896.3112,0,0,0,0,0.053,0.268,0,0.051,15,0,0
02/05/2020 18:00,18:00,20.55,20.63,20.45,92,0,0.729,0.678,174.6,16.96,896.27,0,0.09,0,0.01,0.613,1.875,0,0.52,15,0,0
02/05/2020 17:45,17:45,20.75,21.01,20.58,89,0,1.028,0.975,163.2,14.9,896.0623,1.52,4.16,0.14,1.06,7.069,15.1,1.842,4.182,15,0,0
02/05/2020 17:30,17:30,21.26,21.48,21,85.5,0,0.522,0.5,147.3,12.8,895.8118,8.34,11.62,4.2,2.04,23.5,31.48,15.24,4.499,15,0,0
02/05/2020 17:15,17:15,21.59,21.78,21.47,84,0,0.529,0.505,236.1,10.92,895.8506,16.7,21.44,11.67,3.38,39.55,46.71,31.58,4.52,15,0,0
02/05/2020 17:00,17:00,21.97,22.05,21.77,82.5,0,0.684,0.64,225,16.41,895.7626,27.81,36.6,21.49,3.82,57.79,71.26,46.75,6.462,15,0,0
02/05/2020 16:45,16:45,21.94,22.05,21.82,82.8,0,1.147,1.044,223.3,22.27,895.8391,44.16,54.08,36.79,3.86,82.8,95.5,71.46,5.983,15,0,0
02/05/2020 16:30,16:30,22.17,22.38,21.9,81.1,0,1.107,1.071,226.6,14.05,895.6696,64.14,72.69,54.08,6.69,110.7,120.8,96,8.44,15,0,0
02/05/2020 16:15,16:15,22.22,22.37,22.15,81.2,0,1.177,1.141,228.6,13.57,895.582,75.1,86.1,71.22,4.08,118.8,133.8,116.9,3.096,15,0,0
02/05/2020 16:00,16:00,22.52,22.65,22.35,80.7,0,1.15,1.119,230.3,12.99,895.5728,82.1,99.8,71.55,9.71,134.5,157.2,120.9,10.07,15,0,0
02/05/2020 15:45,15:45,22.44,22.6,22.21,81.4,0,1.507,1.456,227.9,14.84,896.2072,223.8,401.3,99.6,96.9,194.2,363.9,149.8,51.12,15,0,0
02/05/2020 15:30,15:30,23.16,24.58,22.21,79.22,0,1.751,1.707,228.9,12.08,897.1715,174.3,400.6,100.3,87.9,268.9,592.2,159.6,128,15,0,0
02/05/2020 15:15,15:15,24.08,24.59,23.61,75.73,0,0.746,0.627,190.9,24.01,897.3685,402,599.4,149.3,147.4,603.6,921,253.2,203,15,0,0
02/05/2020 15:00,15:00,25.15,25.75,24.33,71.15,0,1.328,1.202,160.2,22.3,897.4927,422.9,747,145.6,247,645.5,1115,242.5,357.8,15,0,0
02/05/2020 14:45,14:45,25.11,25.52,24.63,69.97,0,0.652,0.581,146.1,24.61,897.54,398,767.4,200,164.3,603.8,1126,320.9,234.1,15,0,0
02/05/2020 14:30,14:30,24.37,24.65,24.01,72.42,0,0.58,0.425,159.1,36.89,897.6672,376,489,246.2,63.08,577.4,746.2,388.4,89.6,15,0,0
02/05/2020 14:15,14:15,24.11,24.26,23.93,73.41,0,0.702,0.569,175.1,24.69,897.8743,433.1,507.8,339.1,31.53,670.7,777.5,516.3,45.33,15,0,0
02/05/2020 14:00,14:00,23.8,24.23,23.16,77.24,0,0.638,0.567,142.8,24.11,898.0765,467.5,568.3,364.6,63.84,726.1,876,569.6,94.5,15,0,0
02/05/2020 13:45,13:45,23.3,23.47,23.16,77.84,0,1.248,1.133,157.6,22.52,898.2368,316.2,365.7,275.1,20.93,503,573.3,442.5,30.46,15,0,0
02/05/2020 13:30,13:30,23.16,23.44,22.9,78.47,0,1.142,0.996,146,22.96,898.4393,300.8,310.5,292.2,5.1,483.7,497.8,470.9,7.74,15,0,0
02/05/2020 13:15,13:15,23,23.12,22.8,79.68,0,0.978,0.899,155.6,19.35,898.6812,275.4,296.7,251,15.8,446.5,479.9,410.4,24.6,15,0,0
02/05/2020 13:00,13:00,23.18,23.34,23.02,79.9,0,1.149,1.087,144.7,18.85,898.998,258.7,300.1,226.1,24.93,418.3,483.7,361.2,40.42,15,0,0
02/05/2020 12:45,12:45,23.3,23.39,23.2,79.43,0,1.273,1.147,162.1,24.71,899.2778,304.7,331.4,262.3,18.36,481.2,520.3,421.7,25.41,15,0,0
02/05/2020 12:30,12:30,23.66,24.35,23.16,78.7,0,1.64,1.51,147.9,21.54,899.5225,324.7,559.9,189.7,83.8,497.5,843,292.8,126.8,15,0,0
02/05/2020 12:15,12:15,24.08,24.3,23.78,77.5,0,1.111,0.937,148.2,28.15,899.6472,472.9,698.6,307.9,117.8,716.6,1075,461.1,176.5,15,0,0
