Date and time of measurement,Air Temp,Max Air Temp,Min Air Temp,Relative Humidity,Rainfall,Scalar mean hr. wind speed,Mean hr. wind speed,Average wind direction,Sd ** wind direction,Barometric pressure,Solar Rad***,Max solar Rad***,Min solar Rad***,Sd** solar Rad***,Average ps* active Rad***,Max ps* active Rad***,Min ps* active Rad***,Std** ps* active Rad***,Leaf WT Dry,Leaf WT Wet,Leaf WT Cont
06/30/2020 23:45,16.22,16.28,16.17,95.9,0.254,1.049,1.027,326.1,8.57,900.473,0,0,0,0,0.032,0.201,0,0.038,0,15,0
06/30/2020 23:30,16.23,16.28,16.19,95.9,0,1.516,1.455,328.6,15.75,900.5941,0,0,0,0,0.032,0.167,0,0.041,0,15,0
06/30/2020 23:15,16.28,16.33,16.24,95.7,0.254,1.718,1.665,336,13.86,900.7151,0,0,0,0,0.032,0.201,0,0.038,0,15,0
06/30/2020 23:00,16.31,16.36,16.26,95.9,0,1.708,1.535,336.9,25,900.8773,0,0,0,0,0.033,0.167,0,0.04,0,15,0
06/30/2020 22:45,16.31,16.36,16.28,96.2,0.254,2.023,1.952,338.5,14.68,900.9571,0,0,0,0,0.036,0.167,0,0.04,0,15,0
06/30/2020 22:30,16.32,16.38,16.28,96.5,0,1.875,1.808,333.1,14.97,901.1172,0,0,0,0,0.033,0.201,0,0.039,0,15,0
06/30/2020 22:15,16.36,16.49,16.29,96.5,0.254,1.704,1.652,334.8,14.2,901.2372,0,0,0,0,0.034,0.201,0,0.04,0,15,0
06/30/2020 22:00,16.59,16.73,16.44,96.5,0,1.49,1.423,331.4,16.73,901.3575,0,0,0,0,0.036,0.201,0,0.043,0,15,0
06/30/2020 21:45,16.76,16.85,16.63,96.5,0.254,1.633,1.538,330.2,18.58,901.5994,0,0,0,0,0.033,0.167,0,0.041,0,15,0
06/30/2020 21:30,16.81,16.85,16.76,96.4,0,1.582,1.482,326.3,19.04,901.6398,0,0,0,0,0.032,0.167,0,0.041,0,15,0
06/30/2020 21:15,16.87,16.93,16.83,96.4,0.254,1.38,1.313,324.5,16.44,901.6392,0,0,0,0,0.033,0.167,0,0.038,0,15,0
06/30/2020 21:00,16.88,16.95,16.81,96.3,0.254,1.252,1.206,326.5,14.78,901.5583,0,0,0,0,0.036,0.201,0,0.044,0,15,0
06/30/2020 20:45,16.78,16.86,16.69,96.2,0,1.074,1.04,318.4,13.01,901.4771,0,0,0,0,0.031,0.167,0,0.036,0,15,0
06/30/2020 20:30,16.65,16.73,16.59,96.1,0.254,0.792,0.771,323,13.06,901.3577,0,0,0,0,0.039,0.201,0,0.044,0,15,0
06/30/2020 20:15,16.57,16.61,16.49,96,0,0.784,0.76,330,12.88,901.2786,0,0,0,0,0.031,0.134,0,0.037,0,15,0
06/30/2020 20:00,16.55,16.64,16.48,95.7,0.254,0.863,0.821,336.9,15.99,901.2368,0,0,0,0,0.034,0.201,0,0.04,0,15,0
